Trait_id	Trait	Category	Category_id
PPTO:0000004	biochemical trait	biochemical trait	PPTO:0000004
PPTO:0000005	plant quality trait	plant quality trait	PPTO:0000005
PPTO:0000006	plant growth and development trait	plant growth and development trait	PPTO:0000006
PPTO:0000008	biological process trait	biological process trait	PPTO:0000008
PPTO:0000009	plant morphology trait	plant morphology trait	PPTO:0000009
PPTO:0000010	yield trait	yield trait	PPTO:0000010
PPTO:0000011	plant vigor trait	plant vigor trait	PPTO:0000011
PPTO:0000012	sterility or fertility trait	sterility or fertility trait	PPTO:0000012
PPTO:0000007	biotic stress trait	biotic stress trait	PPTO:0000007
PPTO:0000013	abiotic stress trait	abiotic stress trait	PPTO:0000013
PPTO:0000101	abscisic acid content	biochemical trait	PPTO:0000004
PPTO:0000102	abscisic acid glucose ester content	biochemical trait	PPTO:0000004
PPTO:0000103	acid detergent fiber	plant quality trait	PPTO:0000005
PPTO:0000104	anthesis silking interval	plant growth and development trait	PPTO:0000006
PPTO:0000105	cellulose content	biochemical trait	PPTO:0000004
PPTO:0000106	common rust severity	biotic stress trait	PPTO:0000007
PPTO:0000108	silking time	plant growth and development trait	PPTO:0000006
PPTO:0000109	dry mass of ear	biological process trait	PPTO:0000008
PPTO:0000110	dry mass of silk	biological process trait	PPTO:0000008
PPTO:0000111	ear infructescence position	plant morphology trait	PPTO:0000009
PPTO:0000112	ear length	plant morphology trait	PPTO:0000009
PPTO:0000113	ear weight	plant morphology trait	PPTO:0000009
PPTO:0000114	glucose content	biochemical trait	PPTO:0000004
PPTO:0000115	grain yield per plant	yield trait	PPTO:0000010
PPTO:0000116	hemicellulose content	biochemical trait	PPTO:0000004
PPTO:0000117	100-grain weight	plant morphology trait	PPTO:0000009
PPTO:0000118	in vitro dry matter digestibility	plant quality trait	PPTO:0000005
PPTO:0000119	kernel number per row	yield trait	PPTO:0000010
PPTO:0000120	leaf flecking	biotic stress trait	PPTO:0000007
PPTO:0000121	lignin content	biochemical trait	PPTO:0000004
PPTO:0000122	mole fraction of glucose per total sugar	biochemical trait	PPTO:0000004
PPTO:0000123	mole fraction of sucrose per total sugar	biochemical trait	PPTO:0000004
PPTO:0000124	neutral detergent fiber	plant quality trait	PPTO:0000005
PPTO:0000125	phaseic acid content	biochemical trait	PPTO:0000004
PPTO:0000126	plant height	plant morphology trait	PPTO:0000009
PPTO:0000127	plant survival rate under drought stress	abiotic stress trait	PPTO:0000013
PPTO:0000128	proline content	biochemical trait	PPTO:0000004
PPTO:0000129	specific leaf weight	biological process trait	PPTO:0000008
PPTO:0000130	starch content	biochemical trait	PPTO:0000004
PPTO:0000131	sucrose content	biochemical trait	PPTO:0000004
PPTO:0000132	the amount of aflatoxin	plant quality trait	PPTO:0000005
PPTO:0000133	the biovolume of plants	plant morphology trait	PPTO:0000009
PPTO:0000134	the coefficients of variation of days to anthesis	plant growth and development trait	PPTO:0000006
PPTO:0000135	the coefficients of variation of days to silking	plant growth and development trait	PPTO:0000006
PPTO:0000136	husk thickness	plant morphology trait	PPTO:0000009
PPTO:0000137	husk width	plant morphology trait	PPTO:0000009
PPTO:0000138	husk number	plant morphology trait	PPTO:0000009
PPTO:0000139	the score of resistance to aspergillus flavus infection	biotic stress trait	PPTO:0000007
PPTO:0000140	total sugars content	biochemical trait	PPTO:0000004
PPTO:0000142	stem rot disease resistance	biotic stress trait	PPTO:0000007
PPTO:0000143	first flower trait	plant growth and development trait	PPTO:0000006
PPTO:0000144	flower color	plant morphology trait	PPTO:0000009
PPTO:0000145	disease severity index	biotic stress trait	PPTO:0000007
PPTO:0000146	hilum color	plant morphology trait	PPTO:0000009
PPTO:0000147	inoculated root rot score	biotic stress trait	PPTO:0000007
PPTO:0000148	inoculated root weight	biotic stress trait	PPTO:0000007
PPTO:0000149	leaf chlorophyll content	plant morphology trait	PPTO:0000009
PPTO:0000150	leaf scorch score	abiotic stress trait	PPTO:0000013
PPTO:0000151	leaflet shape trait	plant morphology trait	PPTO:0000009
PPTO:0000152	mexican bean beetle	biotic stress trait	PPTO:0000007
PPTO:0000153	stem node number	plant morphology trait	PPTO:0000009
PPTO:0000154	number of days from flowering to maturity	plant growth and development trait	PPTO:0000006
PPTO:0000155	days to flowering trait	plant growth and development trait	PPTO:0000006
PPTO:0000156	days to maturity	plant growth and development trait	PPTO:0000006
PPTO:0000157	photochemical reflectance index (pri) value	biological process trait	PPTO:0000008
PPTO:0000158	lesion length	biotic stress trait	PPTO:0000007
PPTO:0000159	plant severity score	biotic stress trait	PPTO:0000007
PPTO:0000160	plant wilt score	biotic stress trait	PPTO:0000007
PPTO:0000161	pod number per plant	plant morphology trait	PPTO:0000009
PPTO:0000162	potato leafhopper	biotic stress trait	PPTO:0000007
PPTO:0000163	pubescence color trait	plant morphology trait	PPTO:0000009
PPTO:0000164	leaf lamina pubescence density	plant morphology trait	PPTO:0000009
PPTO:0000165	seed coat color	plant morphology trait	PPTO:0000009
PPTO:0000166	linoleic acid content	biochemical trait	PPTO:0000004
PPTO:0000167	alpha-linolenic acid content	biochemical trait	PPTO:0000004
PPTO:0000168	number of seeds	plant morphology trait	PPTO:0000009
PPTO:0000170	oleic acid content	biochemical trait	PPTO:0000004
PPTO:0000171	seed palmitic acid content	biochemical trait	PPTO:0000004
PPTO:0000172	seed protein composition trait	biochemical trait	PPTO:0000004
PPTO:0000173	seed protein content trait	biochemical trait	PPTO:0000004
PPTO:0000174	stearic acid content	biochemical trait	PPTO:0000004
PPTO:0000175	seed weight	plant morphology trait	PPTO:0000009
PPTO:0000176	seed yield trait	yield trait	PPTO:0000010
PPTO:0000177	reaction to tobacco ringspot virus infection	biotic stress trait	PPTO:0000007
PPTO:0000178	soybean aphid	biotic stress trait	PPTO:0000007
PPTO:0000179	soybean cyst nematode damage	biotic stress trait	PPTO:0000007
PPTO:0000180	soybean looper	biotic stress trait	PPTO:0000007
PPTO:0000181	reaction to soybean mosaic virus infection	biotic stress trait	PPTO:0000007
PPTO:0000182	velvetbean caterpillar	biotic stress trait	PPTO:0000007
PPTO:0000183	bud period	plant growth and development trait	PPTO:0000006
PPTO:0000184	fiber elongation	plant quality trait	PPTO:0000005
PPTO:0000185	fiber length	plant quality trait	PPTO:0000005
PPTO:0000186	fiber length uniformity	plant quality trait	PPTO:0000005
PPTO:0000187	fiber maturity	plant quality trait	PPTO:0000005
PPTO:0000188	fiber strength	plant quality trait	PPTO:0000005
PPTO:0000189	fiber weight per boll	plant quality trait	PPTO:0000005
PPTO:0000190	flower and boll period	plant growth and development trait	PPTO:0000006
PPTO:0000191	branch angle	plant morphology trait	PPTO:0000009
PPTO:0000192	fruit branch length	plant morphology trait	PPTO:0000009
